Cote;Type;DataType;Dates;Titre;Sous-titre;Auteur;Destinataire;Sujet;Description;Notes;Résumé;Éditeur;Localisation;Droits;Ayants-droit;Format;Langue;État génétique;Relations génétiques;Autres ressources en relation;Nature du document;Support;État général;Publication;Représentation;Contexte géographique;Lieu d'expédition;Type de publication;Titre de la publication;Lieu de publication;Numéro de la publication;Périodicité;Directeur de la publication;Auteur analyse;Date analyse;Auteur description;Date création notice;Auteur révision;Date révision notice;Auteur transcription
 MX-F-429;Photos;Picture;1910-1930;Margarita Xirgu caricature;;undetermined;;Caricature of Margarita Xirgu;;The original file is called:medea.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;480 × 636 52,8 ko  jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipNXGw4pisc-CIRUntw46qGP1M5iKy8hLwGecXQM?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-430;Photos;Picture;1910-1930;Margarita Xirgu caricature;;undetermined;;Caricature of Margarita Xirgu;;The original file is called:p6223577.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;484 × 64042,5 ko;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipOxZdoloz2CQFpWHe5JgHObDO-eFFgyQaQyZcl4?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-431;Photos;Picture;1910-1930;Margarita Xirgu caricature;;undetermined;;Caricature of Margarita Xirgu;;The original file is called:santa_juana.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;497 × 640 58 ko   jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipOrYpISnrCEerrJCKAJBmreI0rTy2lB329kQzOG?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-432;Photos;Picture;1918;Margarita Xirgu caricature;;undetermined;;Caricature of Margarita Xirgu;;The original file is called:tovar.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;410 × 640  68,4 ko   jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipM8bNqpRNogRq8e7MkBtPLeR9KHYEj1ORkm7xzC?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-433;Photos;Picture;1910-1930;Margarita Xirgu caricature;;undetermined;;Caricature of Margarita Xirgu;;The original file is called: tovar1.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;263 × 640 37,1 ko   jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipNpSs6Yi09K-seyxMlZKQHa1TXXYK476ydTAAJe?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-434;Photos;Picture;1932;Margarita Xirgu caricature;;undetermined;;Caricature of Margarita Xirgu;;The original file is called:ugalde_1.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;640 × 324 39,2 ko   jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipMNh8O-T0_rW40OP82l2LfAyQhMW9VubxQ2bfY-?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-435;Photos;Picture;1910-1930;Margarita Xirgu caricature;;undetermined;;Caricature of Margarita Xirgu;;The original file is called:ugalde_2.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;461 × 640 37,1 ko   jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipPlMpndpY88brNBv4iSp9G3UVxQr_acRyb9LTdU?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-436;Photos;Picture;1934;Margarita Xirgu caricature;;Ugalde;;Caricature of Margarita Xirgu;;The original file is called:ugalde_3.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;640 × 477 52,8 ko  Jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipPCtRNUrkGK9TxynaYSA9pSi_jJWZmL5Fmfo0g2?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-437;Photos;Picture;1933;Margarita Xirgu caricature;;Ugalde;;Caricature of Margarita Xirgu;;The original file is called:ugalde_4.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;640 × 356 42 ko Jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipMdzrvOU29J18ztX3Fl8MsAc_cZCvvEd3Je3Xi7?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-438;Photos;Picture;1910-1940;Margarita Xirgu caricature;;Antoinio Bueno;;Caricature of Margarita Xirgu;;The original file is called:xirgu0lorca.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;637 × 495 39 ko  Jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipMjax8LNYcibMLHhQ8QH-3H5V82XbgU1kwhultd?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-439;Photos;Picture;1910-1940;Margarita Xirgu caricature;;diario ABC;;Caricature of Margarita Xirgu;;The original file is called:La razón de la locura 0.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;528 × 441 95 ko  Jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipMq0g03wVIdKPtcUC9vMBfs67fLFiYVEnvUgSe9?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-440;Photos;Picture;1910-1940;Margarita Xirgu caricature;;diario ABC;;Caricature of Margarita Xirgu;;The original file is called:La razón de la locura 1.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;525 × 409 99,3 ko  Jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipOt0b7dynOUHxQWA0GB8Jkcz2Wx0VvTfCbqhkXl?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-441;Photos;Picture;1910-1940;Margarita Xirgu caricature;;diario ABC;;Caricature of Margarita Xirgu;;The original file is called:La razón de la locura 2.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;528 × 367 98,9 ko  Jpg;;;;;Archivo Jpg;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipOyGI11i-8GjH_ya5XWqBwRrlEH15u2GqsKpNUu?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-442;Photos;Picture;1910-1940;Margarita Xirgu caricature;;Fresno;;Caricature of Margarita Xirgu;;The original file is called:nueva vida 23 11 28.PNG;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo);;;518 × 3861 47,8 ko  Png;;;;;Archivo Png;Digital;Good;https://photos.google.com/share/AF1QipMkqtPKG4cWTmPHTh-U3_3e7VZbYRIhEtlnyku9wpw7BZxEHxtg7F5GRVfHUEFkXQ/photo/AF1QipNoFrMF-tPog3sBa944L4oV1qKdEL-W5UCg7uIH?key=b29pTVhob3BJNGJFTkY0NE5Ma0Vmc0pnYjhzeFRn;;Undetermined;;;;;;;;;;;;;;
 MX-F-443;Photos;Picture;1969;Mask of  Margarita Xirgu;;Fresno;;Death mask of Margarita Xirgu. ;;The original file is called: estatua.jpg;;;theatreSolís de Montevideo;;;600X400 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/estatua.jpg;;theatreSolís de Montevideo;;;;;;;;;;;;;;
 MX-F-444;Photos;Picture;2000-2020;theatreSolis;;undetermined;;theatreSolis;;The original file is called: img6305.jpg;;;theatreSolís, Montevideo (Uruguay);;;512x341 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/viatge/teatre%20solis/img6305.jpg;;theatreSolís de Montevideo;;;;;;;;;;;;;;
 MX-F-445;Photos;Picture;2000-2020;plaque;;undetermined;;Margarita Xirgu plaque;;The original file is called: Placa%20EMAD.jpg;;;EMAD: Escuela Municipal de Arte Dramático de Montevideo (Municipal School of Dramatic Art of Montevideo).;;;423x370 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/Placa%20EMAD.jpg;;theatreSolís de Montevideo;;;;;;;;;;;;;;
 MX-F-446;Photos;Picture;2000-2020;Margarita Xirgu  room;;undetermined;;Margarita Xirgu room;;The original file is called: Placa%20EMAD.jpg;;;Margarita Xirgu room,theatreEspañol, Madrid, Spain;;;245x350 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/teatres/IMG_0450.jpg;;Margarita Xirgu Room,,theatreEspañol, Madrid, Spain;;;;;;;;;;;;;;
 MX-F-447;Photos;Picture;2000-2020;photo del theatreEspañol;;undetermined;;Photo of the Spanish theatre;;The original file is called: Placa%20EMAD.jpg;;;Margarita Xirgu room,theatreEspañol, Madrid, Spain;;;400x190 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/teatres/sala-margarita-xirgu.jpg;;Margarita Xirgu Room,,theatreEspañol, Madrid, Spain;;;;;;;;;;;;;;
 MX-F-448;Photos;Picture;2000-2020;Plaza Margarida Xirgu Barcelona;;undetermined;;Plaza Margarida Xirgu Barcelona;;The original file is called: barna.jpg;;;Plaza Margarida Xirgu Barcelona;;;260x195 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/barna.jpg;;Plaza Margarida Xirgu Barcelona;;;;;;;;;;;;;;
 MX-F-449;Photos;Picture;2000-2020; Margarita Xirgu figure;;undetermined;;Figurine of  Margarita Xirgu;;The original file is called: 369323897_93355b7599.jpg;;;wax figurine of Margarita Xirgu;;;375x500 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/369323897_93355b7599.jpg;;Barcelona Spain;;;;;;;;;;;;;;
 MX-F-450;Photos;Picture;1940-1970; Margarida Xirgu de Badalona  street;;Enric Giralt;;Margarida Xirgu de Badalona Street;;The original file is called: IMG_8532.jpg;;;Calle Margarida Xirgu de Badalona;;;500X348 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/carrers%20i%20places/IMG_8532.jpg;;Badalona;;;;;;;;;;;;;;
 MX-F-451;Photos;Picture;1940-1970;Margarida Xirgu de Badalona Street;;Enric Giralt;;Margarida Xirgu de Badalona Street;;The original file is called: IMG_8533.jpg;;;Margarida Xirgu de Badalona Street;;;400x300Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/carrers%20i%20places/IMG_8533.jpg;;Badalona;;;;;;;;;;;;;;
 MX-F-452;Photos;Picture;1920-1940;portrait of  Margarita Xirgu;;Ramon Subirats Miquel;;Portrait of Margarita Xirgu;;The original file is called: subirats__74_.jpg;;;Undetermined;;;450X600 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/subirats/subirats/images/subirats__74_.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-453;Photos;Picture;1900-1960;Portrait of   Ramon Subirats Miquel;;undetermined;;Portrait of Margarita Xirgu;;The original file is called: subirats.jpg;;;Undetermined;;;119x 200 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/subirats/subirats/images/subirats.jpg;;Argentina;;;;;;;;;;;;;;
 MX-F-454;Photos;Picture;1939;Conversacion;;undetermined;;Conversation of Ramon Subirats with Margarita Xirgu;;The original file is called: subirats028.jpg;;;Undetermined;;;1090x1500 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/subirats/subirats/images/subirats028.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-455;Photos;Picture;1920-1950;Portrait of Margarita Xirgu;;Rafael Barradas;;Portrait of Margarita Xirgu;;The original file is called: subirats028.jpg;;;Undetermined;;;465x640 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/mx_03.jpg;;Uruguay;;;;;;;;;;;;;;
 MX-F-456;Photos;Picture;1920-1950;Portrait of Margarita Xirgu;;Rafael Barradas;;Portrait of Margarita Xirgu;;The original file is called: subirats028.jpg;;;Undetermined;;;600x747 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/Barradas%20M%20Xirgu%2020.jpg;;Uruguay;;;;;;;;;;;;;;
 MX-F-457;Photos;Picture;1920-1950;Portrait of Margarita Xirgu;;Dibuix d'Alert;;Portrait of Margarita Xirgu;;The original file is called: Dibuix%20Alert.jpg;;;Merida;;;261x300 .Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/Dibuix%20Alert.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-458;Photos;Picture;1920-1950;Portrait of Margarita Xirgu;;Dibuix d'Alert;;Portrait of Margarita Xirgu;;The original file is called: Dibuix%20fet%20a%20Lima%20el%201937.png;;;MAE Barcelona;;;258x400 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/Dibuix%20fet%20a%20Lima%20el%201937.png;;Undetermined;;;;;;;;;;;;;;
 MX-F-459;Photos;Picture;1920-1950;Draw of Margarita Xirgu;;undetermined;;Drawing;;The original file is called: Yerma%20Vernazza.jpg;;;Undetermined;;;197x178 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/vernazza/Yerma%20Vernazza.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-460;Photos;Picture;1920-1950;Draw of Margarita Xirgu;;undetermined;;Drawing;;The original file is called: Dibuix%20fet%20a%20Lima%20el%201937.png;;;Undetermined;;;233x300 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/vernazza/La%20loca%20de%20Chaillot.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-461;Photos;Picture;1920-1950;Draw of Margarita Xirgu;;undetermined;;Drawing;;The original file is called: La%20loca%20de%20Chaillot.jpg;;;Undetermined;;;300x324 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/vernazza/Chaillot%201.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-462;Photos;Picture;1920-1950;Draw of Margarita Xirgu;;undetermined;;Drawing;;The original file is called: Chaillot%201.jpg;;;Undetermined;;;213x300 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/vernazza/Chaillot%202.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-463;Photos;Picture;1920-1950;Draw of Margarita Xirgu;;undetermined;;Drawing;;The original file is called: Chaillot%203.jpg;;;Undetermined;;;202X300 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/vernazza/Chaillot%203.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-464;Photos;Picture;1920-1950;Draw of Margarita Xirgu;;undetermined;;Drawing;;The original file is called: Vernazza%20Chaillot.jpg;;;Undetermined;;;200X199 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/vernazza/Vernazza%20Chaillot.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-465;Photos;Picture;1920-1950;Draw of Margarita Xirgu;;undetermined;;Drawing;;The original file is called: Chaillot%204.jpg;;;Undetermined;;;217X300 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/vernazza/Chaillot%204.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-466;Photos;Picture;1920-1950;Draw of Margarita Xirgu;;undetermined;;Drawing;;The original file is called:Chaillot%205.jpg;;;Undetermined;;;300X227 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/vernazza/Chaillot%205.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-467;Photos;Picture;1920-1950;Draw of Margarita Xirgu;;undetermined;;Drawing;;The original file is called: Celestina.jpg;;;Undetermined;;;224x202 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/vernazza/Celestina.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-468;Photos;Picture;1936;Draw of Margarita Xirgu;;Guevara;;Drawing;;The original file is called: quadre%2001.JPG;;;Undetermined;;;213X319 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/quadre%2001.JPG;;Undetermined;;;;;;;;;;;;;;
 MX-F-469;Photos;Picture;1928;Draw of Margarita Xirgu;;undetermined;;Angel de la Fuente;;The original file is called: Sin%20titulo-Escaneado-03.jpg;;;Undetermined;;;573x795 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/Sin%20titulo-Escaneado-03.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-470;Photos;Picture;1910-1940;Draw of Margarita Xirgu;;undetermined;;Drawing;;The original file is called:hamlet.jpg;;;Undetermined;;;268x600 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/hamlet.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-471;Photos;Picture;1910-1940;Draw of Margarita Xirgu;;undetermined;;Cuadro de Margarita Xirgu;;The original file is called:Bodas%20%20de%20sangre.jpg;;;Undetermined;;;494x640 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/Bodas%20%20de%20sangre.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-472;Photos;Picture;1910-1940;Draw of Margarita Xirgu;;Amparo Climent Corbín.;;Painting of Margarita Xirgu;;The original file is called:Xirgu%20Oli%20crbin.jpg;;;Undetermined;;;505x491 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/Xirgu%20Oli%20crbin.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-473;Photos;Picture;1910-1940;Draw of Margarita Xirgu;;Petrona Viera;;Uruguayan painter Petrona Viera;;The original file is called:Viera%20%20Petrona.jpg;;;Undetermined;;;500x202 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/Viera%20%20Petrona.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-474;Photos;Picture;1910-1940;Draw from a represatation;;Eric Van den Boom;;cartel de Eric Van den Boom;;The original file is called:boomartworkmoment54book.jpg;;;Badalona Spain;;;215x300 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/boomartworkmoment54book.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-475;Photos;Picture;1898-1936;Letters;;Frederico garcia Lorca;;Letters from Frederico Garcia Lorca to Margarita Xirgu;;The original file is called:Vers%20Lorca%202.jpg;;;Undetermined;;;529x748 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/Vers%20Lorca%202.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-476;Photos;Picture;1898-1936;Letters;;Frederico garcia Lorca;;Letters from Frederico Garcia Lorca to Margarita Xirgu;;The original file is called:untitled.jpg;;;Undetermined;;;159x192 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/untitled.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-477;Photos;Picture;1898-1936;Letters;;Frederico garcia Lorca;;Letters from Frederico Garcia Lorca to Margarita Xirgu;;The original file is called:Vers%20Lorca%203.jpg;;;Undetermined;;;909x1042 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/Vers%20Lorca%203.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-478;Photos;Picture;2000-2020;statue;;undetermined;;Statue of  Margarita Xirgu;;The original file is called:00292.jpg;;;Undetermined;;;350x262 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/00292.jpg;;Undetermined;;;;;;;;;;;;;;
 MX-F-479;Photos;Picture;2000-2020;Monumento;;Eudald Serra.;;Monumento  a Margarita Xirgu;;The original file is called:00292.jpg;;;Undetermined;;;600x800Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/IMG_7712.jpg;;Barcelona;;;;;;;;;;;;;;
 MX-F-480;Photos;Picture;1991;Sculpture;;Castell-Platja d'Aro. ;;Sculpture que rinde Tribute to Margarita Xirgu;;The original file is called:Imagen2.jpg;;;Girona;;;403X388 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/Imagen2.jpg;;Girona;;;;;;;;;;;;;;
 MX-F-481;Photos;Picture;1935;Margarita  Xirgu;;Margarita Xirgu;;Margarita Xirgu;;The original file is called:Captura%20de%20pantalla%202014-05-02%20a%20les%2019.54.43.png;;;Girona;;;967x1355 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/damaboba.jpg;;Girona;;;;;;;;;;;;;;
 MX-F-482;Photos;Picture;1991;Escultura;;Castell-Platja d'Aro. ;;Sculpture que rinde Tribute to Margarita Xirgu;;;;;Girona;;;400x223 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/Captura%20de%20pantalla%202014-05-02%20a%20les%2019.54.43.png;;Girona;;;;;;;;;;;;;;
 MX-F-483;Photos;Picture;1991;Sculpture;;Castell-Platja d'Aro. ;;Sculpture que rinde Tribute to Margarita Xirgu;;The original file is called:Imagen2.jpg;;;Girona;;;403X388 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/Imagen2.jpg;;Girona;;;;;;;;;;;;;;
 MX-F-484;Photos;Picture;1991;Sculpture;;Castell-Platja d'Aro. ;;Sculpture que rinde Tribute to Margarita Xirgu;;The original file is called:D%27aro%2014.jpg;;;Girona;;;227x330 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/D%27aro%2014.jpg;;Girona;;;;;;;;;;;;;;
 MX-F-485;Photos;Picture;1991;Sculpture;;Castell-Platja d'Aro. ;;Sculpture que rinde Tribute to Margarita Xirgu;;The original file is called:Imagen1.jpg;;;Girona;;;628x502 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/Imagen1.jpg;;Girona;;;;;;;;;;;;;;
 MX-F-486;Photos;Picture;1980-2020;Sculpture;;Eduardo Acero;;Sculpture que rinde Tribute to Margarita Xirgu;;The original file is called:estbronze.jpg;;;Merida;;;427x640 Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/dedicat/estbronze.jpg;;Merida;;;;;;;;;;;;;;
 MX-F-487;Photos;Picture;1980-2020;Sculpture;;Eduardo Acero;;Sculpture que rinde Tribute to Margarita Xirgu;;The original file is called:estbronze.jpg;;;Merida;;;480x640Jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/expos/merida/margarida%20xirgu/teatreroma/teatreroma/images/DSCN0592B.jpg;;Merida;;;;;;;;;;;;;;
 MX-F-488;Photos;Picture;1933;Plaque;;Eduardo Acero;;Plaque Margarita Xirgu;;The original file is called:images/DSCN0593b.jpg;;;Roman theatre of Merida;;;640x480 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/material/expos/merida/margarida%20xirgu/teatreroma/teatreroma/images/DSCN0593b.jpg;;Merida;;;;;;;;;;;;;;
 MX-F-489;Photos;Picture;1933;Roman theatre of Merida;;undetermined;;Roman theater of Merida;;The original file is called:  522689_3431140856148_1199174309_32996616_976264563_n.jpeg;;;Roman theater of Merida;;;350x235 Jpeg;;;;;Archivo Jpegg;Digital;Good;http://margaritaxirgu.es/vivencia/2medea/2medea/images/522689_3431140856148_1199174309_32996616_976264563_n.jpeg;;Merida;;;;;;;;;;;;;;
 MX-F-490;Photos;Picture;1933;Roman theatre of Merida;;undetermined;;Roman theater of Merida;;The original file is called:  522943_3431155976526_1199174309_32996644_472356404_n.jpg;;;Roman theater of Merida;;;234x350 jpg;;;;;Archivo Jpg;Digital;Good;http://margaritaxirgu.es/vivencia/2medea/2medea/images/522943_3431155976526_1199174309_32996644_472356404_n.jpg;;Merida;;;;;;;;;;;;;;
